; Type: Shadowlands Raid

; -------------------------------------
;    Zone: Castle Nathria
; -------------------------------------

; Boss: Trash
343322	Проклятие Молдоваака
343320	Проклятие Карамейна
343325	Проклятие Синдрела
343316	Проклятие Харгитаса
343155	Каменная кожа
343302	Гранитные крылья
329989	Исступление
341441	Грохот земли
341352	Искусная ловушка игрока
341735	Восстановление камня
340630	Гниение
339553	Остаточная анима
339557	Анима в бутылке
339528	Извращенные желания
339525	Сгущение анимы

; Boss: Shriekwing
330711	Пронзительный визг
340324	Кровавый гной
342074y	Эхолокация
342863	Отдающийся эхом визг
345397	Волна крови
343005	Удар вслепую
328857	Обескровливающий укус
328897	Обескровливание
345936	Пронзительный визг
328921	Кровавая завеса
329362	Отдающийся эхом сонар
341684	Кровавый светильник
341489	Кровавый свет

; Boss: Huntsman Altimor
335114	Искатель греха
334404	Залп
334971	Зазубренные когти
334945	Жестокий рывок
334797	Вырывание души
334884	Поглощение души
334757	Тени Баргаста
334860	Размалывающий камень
334852y	Обращающий в камень вой
334893	Каменные осколки

; Boss: Sun King's Salvation
326455	Пылающий удар
326456	Горящие останки
325877	Взрывоопасные угли
329518	Пылающий поток
328579	Тлеющий след
328479y	Внимание на цель
-21954	Скальный покоритель
325440	Уничтожающий удар
325442	Уничтожение
325506	Контузящий удар
-21993	Темнокрылая убийца
326583	Алый шквал
333145	Обращение в камень
-21952	Гнусный оккультист
333002	Грубое клеймо
-21953	Насыщательница душ
-22082	Докучливый бес
326078	Благословение насыщательницы
339251	Опустошенная душа
328889	Великая очищающая кара
337859	Плащ пламени
343026	Плащ пламени

; Boss: Artificer Xy'mox
328437y	Пространственный разрыв
325236	Символ разрушения
326271	Стазисная ловушка
335013	Взрывающийся разлом
325399	Вспышка гиперсвета
340758	Недолговечные духи
327902y	Сосредоточение внимания
327414	Одержимость
340788	Семена истребления
329107	Истребление
340860	Иссушающее прикосновение
328789	Аннигиляция

; Boss: Hungering Destroyer
329298	Ненасытные миазмы
334522	Поглощение
329725	Истребление
334266y	Нестабильный выброс
329455	Опустошение
329774	Переполнение мощью
332295	Нарастающий голод

; Boss: Lady Inerva Darkvein
331870	Концентрация анимы
341621	Обнажение желаний
325382	Извращенные желания
340452y	Изменение намерений
325936	Коллективное восприятие
325769	Анима в бутылке
325713	Остаточная анима
324983y	Разделенные муки
332664y	Концентрированная анима
331573y	Непомерная вина
331550	Порицание

; Boss: The Council of Blood
346690	Ответный удар дуэлянта
346698	Призыв старательного служителя
330978	Землерои-слуги
330965	Помощники кастеляна
346790	Запятнанный грехом клинок
346651y	Вытягивание сущности
337110	Залп жутких стрел
346657	Извержение гордыни
346945	Воплощенная боль
346681	Шипы души
327497	Уклончивый выпад
331634y	Темный бал
346800	Кровавый вальс
346303	Переполох
330959	Пляска смерти
330848y	Неправильные па
-22433	Остаточное изображение баронессы Фриды
347350y	Танцевальная чума

; Boss: Sludgefist
331209y	Ненавидящий взгляд
331314	Разрушительный удар
335293y	Звено цепи
332318	Разрушительный топот
341193	Падающие обломки
335361	Камнетрясение
332687	Громогласный рев
335470	Цепной удар
341102	Раздробленный валун
340817	Сейсмический сдвиг
341250	Изуверская ярость

; Boss: Stone Legion Generals
329636	Закаленный каменный облик
333387	Гибельный клинок
333913	Зловещая рана
334765	Разрыватель сердец
334929	Секущий взмах
339690y	Кристаллизация
342544	Измельчающий метеорит
343063	Каменный шип
342733	Яростное пожирание
342985	Идол штормов
332406	Насыщение анимой
339885	Заражение анимой
342722	Выброс каменной ярости
332683	Сокрушительный взрыв
329808	Закаленный каменный облик
342425	Каменный кулак
344496y	Раскатистый взрыв
334498	Сейсмическая дрожь
342256	Призыв армий Тьмы
